host,ip,collector_hostname,timestamp,feature,value
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ipForwDatagrams,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ipOutNoRoutes,9
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,ipInAddrErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,icmpInMsgs,86
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,icmpInDestUnreachs,82
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,icmpOutMsgs,768
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,icmpOutDestUnreachs,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,icmpInEchos,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:42.590806,icmpOutEchoReps,2
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ifInOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ifOutOctets1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ifOutDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ifInUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ifInNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ifInDiscards1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ifOutUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,ifOutNUcastPkts1,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,tcpOutRsts,2485
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,tcpInSegs,623152
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,tcpOutSegs,709841
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,tcpPassiveOpens,344
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,tcpRetransSegs,1375
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,tcpCurrEstab,44
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,tcpEstabResets,1084
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,tcpActiveOpens,6491
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,udpInDatagrams,700899
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,udpOutDatagrams,148599
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,udpInErrors,0
localhost,127.0.0.1:161,local-producer,2025-08-31T21:52:52.768316,udpNoPorts,2313
